,processor_number,brand,nGeneration,Quarter Launch,Year launch,Lithography,nbr_cores,nbr_P-cores,nbr_E-cores,nbr_threads,max_turbo_frequency,performance-core_base_freq,efficient-core_base_freq,processor_base_freq,cache,processor_base_power,max_memory_size,memory_types,max_PCI,supported_socket,processor_graphics,graphics_max_dynamic_frequency,optane_memory_supported,turbo_boost_max_technology2,turbo_boost_max_technology3,vPro_platform_eligibity,max_resolution_hdmi,freq_hdmi(en Hz),max_resolution_dp,freq_dp(en Hz),max_resolution_edp,freq_edp,X-series,nGeneration2,series2,series
217,i3-4150,i3,4th,Q2,2014.0,22,2,,,4,,,,3.5,3.0,54,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4400,1.15,No,No,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
218,i3-4150T,i3,4th,Q2,2014.0,22,2,,,4,,,,3.0,3.0,35,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4400,1.15,No,No,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],T
219,i3-4350,i3,4th,Q2,2014.0,22,2,,,4,,,,3.6,4.0,54,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.15,No,No,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
220,i3-4350T,i3,4th,Q2,2014.0,22,2,,,4,,,,3.1,4.0,35,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.15,No,No,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],T
221,i3-4360,i3,4th,Q2,2014.0,22,2,,,4,,,,3.7,4.0,54,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.15,No,No,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
222,i5-4460,i5,4th,Q2,2014.0,22,4,,,4,3.4,,,3.2,6.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.1,No,Yes,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
223,i5-4460S,i5,4th,Q2,2014.0,22,4,,,4,3.4,,,2.9,6.0,65,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.1,No,Yes,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['S'],S
224,i5-4460T,i5,4th,Q2,2014.0,22,4,,,4,2.7,,,1.9,6.0,35,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.1,No,Yes,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],T
225,i5-4590,i5,4th,Q2,2014.0,22,4,,,4,3.7,,,3.3,6.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.15,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
226,i5-4590S,i5,4th,Q2,2014.0,22,4,,,4,3.7,,,3.0,6.0,65,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.15,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['S'],S
227,i5-4590T,i5,4th,Q2,2014.0,22,4,,,4,3.0,,,2.0,6.0,35,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.15,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],T
228,i5-4690,i5,4th,Q2,2014.0,22,4,,,4,3.9,,,3.5,6.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.2,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
229,i5-4690K,i5,4th,Q2,2014.0,22,4,,,4,3.9,,,3.5,6.0,88,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.2,No,Yes,No,No, 3840 x 2160 , 24, 3840 x 2160 , 60, 3840 x 2160 , 60,No,4.0,['K'],K
230,i5-4690S,i5,4th,Q2,2014.0,22,4,,,4,3.9,,,3.2,6.0,65,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.2,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['S'],S
231,i5-4690T,i5,4th,Q2,2014.0,22,4,,,4,3.5,,,2.5,6.0,45,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.2,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],T
232,i7-4785T,i7,4th,Q2,2014.0,22,4,,,8,3.2,,,2.2,8.0,35,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.2,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],
233,i7-4790,i7,4th,Q2,2014.0,22,4,,,8,4.0,,,3.6,8.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.2,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
234,i7-4790K,i7,4th,Q2,2014.0,22,4,,,8,4.4,,,4.0,8.0,88,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.25,No,Yes,No,No, 3840 x 2160 , 24, 3840 x 2160 , 60, 3840 x 2160 , 60,No,4.0,['K'],K
235,i7-4790S,i7,4th,Q2,2014.0,22,4,,,8,4.0,,,3.2,8.0,65,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.2,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['S'],S
236,i7-4790T,i7,4th,Q2,2014.0,22,4,,,8,3.9,,,2.7,8.0,45,32,"DDR3-1333/1600, 
DDR3L-1333/1600 ",16,LGA1150,HD 4600,1.2,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],T
237,i3-4130,i3,4th,Q3,2013.0,22,2,,,4,,,,3.4,3.0,54,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4400,1.15,No,No,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
238,i3-4130T,i3,4th,Q3,2013.0,22,2,,,4,,,,2.9,3.0,35,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4400,1.15,No,No,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],T
239,i3-4330,i3,4th,Q3,2013.0,22,2,,,4,,,,3.5,4.0,54,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.15,No,No,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
240,i3-4330T,i3,4th,Q3,2013.0,22,2,,,4,,,,3.0,4.0,35,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.15,No,No,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],T
241,i3-4340,i3,4th,Q3,2013.0,22,2,,,4,,,,3.6,4.0,54,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.15,No,No,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
242,i5-4440,i5,4th,Q3,2013.0,22,4,,,4,3.3,,,3.1,6.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.1,No,Yes,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
243,i5-4440S,i5,4th,Q3,2013.0,22,4,,,4,3.3,,,2.8,6.0,65,32,"DDR3-1333/1600,
DDR3L-1333/1600",16,LGA1150,HD 4600,1.1,No,Yes,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['S'],S
244,i7-4771,i7,4th,Q3,2013.0,22,4,,,8,3.9,,,3.5,8.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.1,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],
245,i7-4820K,i7,4th,Q3,2013.0,22,4,,,8,3.9,,,3.7,10.0,130,64,DDR3 1333/1600/1866,40,LGA2011,No ,,No,Yes,No,No,,,,,,,No,4.0,['K'],K
246,i7-4930K,i7,4th,Q3,2013.0,22,6,,,12,3.9,,,3.4,12.0,130,64,"DDR3
1333/1600/1866",40,LGA2011,No ,,No,Yes,No,No,,,,,,,No,4.0,['K'],K
247,i7-4960X,i7,X-series,Q3,2013.0,22,6,,,12,4.0,,,3.6,15.0,130,64,"DDR3
1333/1600/1866",40,LGA2011,No ,,No,Yes,No,No,,,,,,,Yes,4.0,[],O
248,i5-4430,i5,4th,Q2,2013.0,22,4,,,4,3.2,,,3.0,6.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.1,No,Yes,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
249,i5-4430S,i5,4th,Q2,2013.0,22,4,,,4,3.2,,,2.7,6.0,65,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.1,No,Yes,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['S'],S
250,i5-4570,i5,4th,Q2,2013.0,22,4,,,4,3.6,,,3.2,6.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.15,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
251,i5-4570R,i5,4th,Q2,2013.0,22,4,,,4,3.2,,,2.7,4.0,65,32,"DDR3 & DDR3L
 1333/1600",16,FCBGA1364,Iris® Pro 5200,1.15,No,Yes,No,No, 3840 x 2160 , 60, 3840 x 2160 , 60, 3840 x 2160, 60,No,4.0,['R'],R
252,i5-4570S,i5,4th,Q2,2013.0,22,4,,,4,3.6,,,2.9,6.0,65,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.15,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['S'],S
253,i5-4570T,i5,4th,Q2,2013.0,22,2,,,4,3.6,,,2.9,4.0,35,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.15,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],T
254,i5-4670,i5,4th,Q2,2013.0,22,4,,,4,3.8,,,3.4,6.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.2,No,Yes,No,yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
255,i5-4670K,i5,4th,Q2,2013.0,22,4,,,4,3.8,,,3.4,6.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.2,No,Yes,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['K'],K
256,i5-4670R,i5,4th,Q2,2013.0,22,4,,,4,3.7,,,3.0,4.0,65,32,"DDR3 &DDR3L
1333/1600",16,FCBGA1364,HD 5200,1.3,No,Yes,No,No, 3840 x 2160, 60, 3840 x 2160 , 60, 3840 x 2160 , 60,No,4.0,['R'],R
257,i5-4670S,i5,4th,Q2,2013.0,22,4,,,4,3.8,,,3.1,6.0,65,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.2,No,Yes,No,yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['S'],S
258,i5-4670T,i5,4th,Q2,2013.0,22,4,,,4,3.3,,,2.3,6.0,45,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.2,No,Yes,No,yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],T
259,i7-4765T,i7,4th,Q2,2013.0,22,4,,,8,3.0,,,2.0,8.0,35,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.2,No,Yes,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],
260,i7-4770,i7,4th,Q2,2013.0,22,4,,,8,3.9,,,3.4,8.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD4600,1.2,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,[],O
261,i7-4770K,i7,4th,Q2,2013.0,22,4,,,8,3.9,,,3.5,8.0,84,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.25,No,Yes,No,No, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['K'],K
262,i7-4770R,i7,4th,Q2,2013.0,22,4,,,8,3.9,,,3.2,6.0,65,32,"DDR3 & DDR3L
1333/1600",16,FCBGA1364,HD 5200,1.3,No,Yes,No,No, 3840 x 2160 , 30, 3840 x 2160 , 60,,,No,4.0,['R'],R
263,i7-4770S,i7,4th,Q2,2013.0,22,4,,,8,3.9,,,3.1,8.0,65,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.2,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['S'],S
264,i7-4770T,i7,4th,Q2,2013.0,22,4,,,8,3.7,,,2.5,8.0,45,32,"DDR3-1333/1600, 
DDR3L-1333/1600",16,LGA1150,HD 4600,1.2,No,Yes,No,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,4.0,['T'],T
